Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,USDA1021,WSM1022
mcl2,mcl2,(3S)-malyl-CoA thioesterase,2,2,1.0,1,2658,,,,903,903,903.0,USDA1021_02421,WSM1022_03115
iolE_1,iolE_1,Inosose dehydratase,2,2,1.0,1,2657,,,,903,903,903.0,USDA1021_01899,WSM1022_00119
group_1001,,Polyphosphate:ADP phosphotransferase 1,2,2,1.0,1,2656,,,,903,903,903.0,USDA1021_01752,WSM1022_00268
nodD2_1,nodD2_1,Nodulation protein D 2,2,2,1.0,1,2655,,,,903,903,903.0,USDA1021_00669,WSM1022_01579
kce_1,kce_1,3-keto-5-aminohexanoate cleavage enzyme,2,2,1.0,1,2654,,,,903,903,903.0,USDA1021_00030,WSM1022_02206
group_998,,hypothetical protein,2,2,1.0,1,2651,,,,906,906,906.0,USDA1021_06741,WSM1022_06312
phnD2,phnD2,putative ABC transporter phosphonate/phosphite binding protein PhnD2,2,2,1.0,1,2650,,,,906,906,906.0,USDA1021_06459,WSM1022_06017
gtaB_2,gtaB_2,UTP--glucose-1-phosphate uridylyltransferase,2,2,1.0,1,2649,,,,906,906,906.0,USDA1021_06229,WSM1022_05790
ltnD_2,ltnD_2,L-threonate dehydrogenase,2,2,1.0,1,2648,,,,906,906,906.0,USDA1021_05914,WSM1022_05528
ispE,ispE,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,2,2,1.0,1,2647,,,,906,906,906.0,USDA1021_05841,WSM1022_00600
dmlR_13,dmlR_13,HTH-type transcriptional regulator DmlR,2,2,1.0,1,2646,,,,906,906,906.0,USDA1021_05371,WSM1022_05336
ycjO_2,ycjO_2,Inner membrane ABC transporter permease protein YcjO,2,2,1.0,1,2645,,,,906,906,906.0,USDA1021_04698,WSM1022_04608
pgrR_17,pgrR_17,HTH-type transcriptional regulator PgrR,2,2,1.0,1,2644,,,,906,906,906.0,USDA1021_04525,WSM1022_04396
ycjO_1,ycjO_1,Inner membrane ABC transporter permease protein YcjO,2,2,1.0,1,2643,,,,906,906,906.0,USDA1021_04452,WSM1022_04299
group_997,,putative 5-dehydro-4-deoxyglucarate dehydratase,2,2,1.0,1,2642,,,,906,906,906.0,USDA1021_04392,WSM1022_04261
group_996,,putative methylxanthine N7-demethylase NdmC,2,2,1.0,1,2641,,,,906,906,906.0,USDA1021_04359,WSM1022_04228
occR,occR,Octopine catabolism/uptake operon regulatory protein OccR,2,2,1.0,1,2638,,,,906,906,906.0,USDA1021_03081,WSM1022_02493
rpoH_2,rpoH_2,RNA polymerase sigma factor RpoH,2,2,1.0,1,2637,,,,906,906,906.0,USDA1021_02881,WSM1022_02702
yedA,yedA,putative inner membrane transporter YedA,2,2,1.0,1,2636,,,,906,906,906.0,USDA1021_02518,WSM1022_03016
group_994,,putative periplasmic iron-binding protein,2,2,1.0,1,2635,,,,906,906,906.0,USDA1021_02516,WSM1022_03018
dapF,dapF,Diaminopimelate epimerase,2,2,1.0,1,2634,,,,906,906,906.0,USDA1021_02354,WSM1022_03193
purF_2,purF_2,Amidophosphoribosyltransferase,2,2,1.0,1,2633,,,,906,906,906.0,USDA1021_02164,WSM1022_03387
trxB_2,trxB_2,Thioredoxin reductase,2,2,1.0,1,2632,,,,906,906,906.0,USDA1021_01890,WSM1022_00129
mutM,mutM,Formamidopyrimidine-DNA glycosylase,2,2,1.0,1,2631,,,,906,906,906.0,USDA1021_01885,WSM1022_00134
group_993,,hypothetical protein,2,2,1.0,1,2630,,,,906,906,906.0,USDA1021_01215,WSM1022_00989
group_992,,hypothetical protein,2,2,1.0,1,2629,,,,906,906,906.0,USDA1021_00334,WSM1022_01912
dppC_6,dppC_6,Dipeptide transport system permease protein DppC,2,2,1.0,1,2628,,,,909,909,909.0,USDA1021_05703,WSM1022_00486
cheR,cheR,Chemotaxis protein methyltransferase,2,2,1.0,1,2627,,,,909,909,909.0,USDA1021_05598,WSM1022_00383
rhaR_4,rhaR_4,HTH-type transcriptional activator RhaR,2,2,1.0,1,2626,,,,909,909,909.0,USDA1021_04168,WSM1022_04073
rhaR_3,rhaR_3,HTH-type transcriptional activator RhaR,2,2,1.0,1,2625,,,,909,909,909.0,USDA1021_04167,WSM1022_04072
group_991,,hypothetical protein,2,2,1.0,1,2624,,,,909,909,909.0,USDA1021_04150,WSM1022_04055
group_989,,hypothetical protein,2,2,1.0,1,2622,,,,909,909,909.0,USDA1021_02642,WSM1022_02951
dmlR_2,dmlR_2,HTH-type transcriptional regulator DmlR,2,2,1.0,1,2621,,,,909,909,909.0,USDA1021_01823,WSM1022_00196
group_988,,hypothetical protein,2,2,1.0,1,2620,,,,909,909,909.0,USDA1021_01572,WSM1022_00694
gloB_1,gloB_1,Hydroxyacylglutathione hydrolase,2,2,1.0,1,2619,,,,909,909,909.0,USDA1021_01571,WSM1022_00695
gcvA_1,gcvA_1,Glycine cleavage system transcriptional activator,2,2,1.0,1,2618,,,,909,909,909.0,USDA1021_01548,WSM1022_00739
pgrR_1,pgrR_1,HTH-type transcriptional regulator PgrR,2,2,1.0,1,2617,,,,909,909,909.0,USDA1021_00832,WSM1022_01363
ribN_2,ribN_2,Riboflavin transporter,2,2,1.0,1,2616,,,,909,909,909.0,USDA1021_00512,WSM1022_01727
znuC,znuC,Zinc import ATP-binding protein ZnuC,2,2,1.0,1,2615,,,,909,909,909.0,USDA1021_00464,WSM1022_01773
melD_1,melD_1,Melibiose/raffinose/stachyose import permease protein MelD,2,2,1.0,1,2614,,,,909,909,909.0,USDA1021_00449,WSM1022_01786
group_987,,hypothetical protein,2,2,1.0,1,2613,,,,909,909,909.0,USDA1021_00416,WSM1022_01818
miaA,miaA,tRNA dimethylallyltransferase,2,2,1.0,1,2612,,,,909,909,909.0,USDA1021_00165,WSM1022_02073
oxyR_1,oxyR_1,Hydrogen peroxide-inducible genes activator,2,2,1.0,1,2611,,,,909,909,909.0,USDA1021_00016,WSM1022_02220
group_984,,Putative thiosulfate sulfurtransferase,2,2,1.0,1,2608,,,,912,912,912.0,USDA1021_06322,WSM1022_05880
potH,potH,Putrescine transport system permease protein PotH,2,2,1.0,1,2607,,,,912,912,912.0,USDA1021_05685,WSM1022_00468
ribN_5,ribN_5,Riboflavin transporter,2,2,1.0,1,2606,,,,912,912,912.0,USDA1021_05529,WSM1022_05489
pqqB,pqqB,Coenzyme PQQ synthesis protein B,2,2,1.0,1,2605,,,,912,912,912.0,USDA1021_05172,WSM1022_05140
rhaR_5,rhaR_5,HTH-type transcriptional activator RhaR,2,2,1.0,1,2604,,,,912,912,912.0,USDA1021_04169,WSM1022_04074
laaA,laaA,L-amino acid amidase,2,2,1.0,1,2603,,,,912,912,912.0,USDA1021_02791,WSM1022_02804
nagK,nagK,N-acetyl-D-glucosamine kinase,2,2,1.0,1,2602,,,,912,912,912.0,USDA1021_02050,WSM1022_03502
argF,argF,Ornithine carbamoyltransferase anabolic,2,2,1.0,1,2601,,,,912,912,912.0,USDA1021_01742,WSM1022_00278
group_981,,hypothetical protein,2,2,1.0,1,2598,,,,915,915,915.0,USDA1021_05926,WSM1022_05539
gsiC_15,gsiC_15,Glutathione transport system permease protein GsiC,2,2,1.0,1,2597,,,,915,915,915.0,USDA1021_05229,WSM1022_05197
oppD_8,oppD_8,Oligopeptide transport ATP-binding protein OppD,2,2,1.0,1,2596,,,,915,915,915.0,USDA1021_04976,WSM1022_03659
gnl_1,gnl_1,Gluconolactonase,2,2,1.0,1,2595,,,,915,915,915.0,USDA1021_04924,WSM1022_03713
gsiD_7,gsiD_7,Glutathione transport system permease protein GsiD,2,2,1.0,1,2594,,,,915,915,915.0,USDA1021_04861,WSM1022_04676
nosF,nosF,putative ABC transporter ATP-binding protein NosF,2,2,1.0,1,2593,,,,915,915,915.0,USDA1021_04515,WSM1022_04387
syrM1_2,syrM1_2,HTH-type transcriptional regulator SyrM 1,2,2,1.0,1,2592,,,,915,915,915.0,USDA1021_04080,WSM1022_03981
group_980,,Farnesyl diphosphate synthase,2,2,1.0,1,2589,,,,915,915,915.0,USDA1021_02326,WSM1022_03223
accD,accD,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,2,2,1.0,1,2588,,,,915,915,915.0,USDA1021_02226,WSM1022_03320
group_979,,hypothetical protein,2,2,1.0,1,2587,,,,915,915,915.0,USDA1021_01908,WSM1022_00110
group_978,,hypothetical protein,2,2,1.0,1,2586,,,,915,915,915.0,USDA1021_01816,WSM1022_00205
fdhC_1,fdhC_1,Fructose dehydrogenase cytochrome subunit,2,2,1.0,1,2585,,,,915,915,915.0,USDA1021_01528,WSM1022_00759
yehZ,yehZ,Glycine betaine-binding protein YehZ,2,2,1.0,1,2584,,,,918,918,918.0,USDA1021_06493,WSM1022_06051
lacF_5,lacF_5,Lactose transport system permease protein LacF,2,2,1.0,1,2583,,,,918,918,918.0,USDA1021_05403,WSM1022_05369
araD,araD,L-2-keto-3-deoxyarabonate dehydratase,2,2,1.0,1,2582,,,,918,918,918.0,USDA1021_04701,WSM1022_04611
gsiD_6,gsiD_6,Glutathione transport system permease protein GsiD,2,2,1.0,1,2581,,,,918,918,918.0,USDA1021_04395,WSM1022_04264
dppB_3,dppB_3,Dipeptide transport system permease protein DppB,2,2,1.0,1,2580,,,,918,918,918.0,USDA1021_04394,WSM1022_04263
gsiC_6,gsiC_6,Glutathione transport system permease protein GsiC,2,2,1.0,1,2579,,,,918,918,918.0,USDA1021_03082,WSM1022_02492
group_977,,hypothetical protein,2,2,1.0,1,2578,,,,918,918,918.0,USDA1021_00516,WSM1022_01723
phzF_1,phzF_1,Trans-23-dihydro-3-hydroxyanthranilate isomerase,2,2,1.0,1,2577,,,,918,918,918.0,USDA1021_00244,WSM1022_01996
group_975,,hypothetical protein,2,2,1.0,1,2574,,,,921,921,921.0,USDA1021_06269,WSM1022_05830
group_974,,hypothetical protein,2,2,1.0,1,2573,,,,921,921,921.0,USDA1021_06141,WSM1022_05699
argP_3,argP_3,HTH-type transcriptional regulator ArgP,2,2,1.0,1,2572,,,,921,921,921.0,USDA1021_06029,WSM1022_05640
dgoK1_2,dgoK1_2,putative 2-dehydro-3-deoxygalactonokinase DgoK1,2,2,1.0,1,2571,,,,921,921,921.0,USDA1021_05822,WSM1022_00581
group_973,,hypothetical protein,2,2,1.0,1,2570,,,,921,921,921.0,USDA1021_05453,WSM1022_05412
paaX,paaX,Transcriptional repressor PaaX,2,2,1.0,1,2569,,,,921,921,921.0,USDA1021_05389,WSM1022_05354
group_972,,Polyphosphate:ADP phosphotransferase 2,2,2,1.0,1,2568,,,,921,921,921.0,USDA1021_04937,WSM1022_03700
group_971,gsiC_11,Glutathione transport system permease protein GsiC,2,2,1.0,1,2567,,,,921,921,921.0,USDA1021_04428,WSM1022_04274
group_970,,hypothetical protein,2,2,1.0,1,2566,,,,921,921,921.0,USDA1021_04353,WSM1022_04222
yhaJ,yhaJ,HTH-type transcriptional regulator YhaJ,2,2,1.0,1,2565,,,,921,921,921.0,USDA1021_04094,WSM1022_03995
group_969,,hypothetical protein,2,2,1.0,1,2564,,,,921,921,921.0,USDA1021_03261,WSM1022_02320
fieF,fieF,Ferrous-iron efflux pump FieF,2,2,1.0,1,2563,,,,921,921,921.0,USDA1021_03245,WSM1022_02341
folD_1,folD_1,Bifunctional protein FolD protein,2,2,1.0,1,2562,,,,921,921,921.0,USDA1021_02170,WSM1022_03381
group_968,,hypothetical protein,2,2,1.0,1,2561,,,,921,921,921.0,USDA1021_00714,WSM1022_01477
gsiC_2,gsiC_2,Glutathione transport system permease protein GsiC,2,2,1.0,1,2560,,,,921,921,921.0,USDA1021_00425,WSM1022_01810
oppB,oppB,Oligopeptide transport system permease protein OppB,2,2,1.0,1,2557,,,,924,924,924.0,USDA1021_06441,WSM1022_05999
rcsC_9,rcsC_9,Sensor histidine kinase RcsC,2,2,1.0,1,2556,,,,924,924,924.0,USDA1021_05427,WSM1022_05386
dppB_5,dppB_5,Dipeptide transport system permease protein DppB,2,2,1.0,1,2555,,,,924,924,924.0,USDA1021_05263,WSM1022_05229
ddpC_4,ddpC_4,putative DD-dipeptide transport system permease protein DdpC,2,2,1.0,1,2554,,,,924,924,924.0,USDA1021_05230,WSM1022_05198
pgrR_16,pgrR_16,HTH-type transcriptional regulator PgrR,2,2,1.0,1,2553,,,,924,924,924.0,USDA1021_04364,WSM1022_04233
ghrA_2,ghrA_2,Glyoxylate/hydroxypyruvate reductase A,2,2,1.0,1,2552,,,,924,924,924.0,USDA1021_04159,WSM1022_04064
arcA_1,arcA_1,Arginase,2,2,1.0,1,2551,,,,924,924,924.0,USDA1021_02539,WSM1022_02995
group_965,,hypothetical protein,2,2,1.0,1,2550,,,,924,924,924.0,USDA1021_02497,WSM1022_03039
ribN_3,ribN_3,Riboflavin transporter,2,2,1.0,1,2549,,,,924,924,924.0,USDA1021_02075,WSM1022_03476
group_964,,hypothetical protein,2,2,1.0,1,2548,,,,924,924,924.0,USDA1021_01627,WSM1022_00637
tsf,tsf,Elongation factor Ts,2,2,1.0,1,2546,,,,924,924,924.0,USDA1021_00905,WSM1022_01287
lpxL,lpxL,Lipid A biosynthesis lauroyltransferase,2,2,1.0,1,2545,,,,924,924,924.0,USDA1021_00440,WSM1022_01795
sugA_1,sugA_1,Trehalose transport system permease protein SugA,2,2,1.0,1,2543,,,,924,924,924.0,USDA1021_00040,WSM1022_02196
group_961,,hypothetical protein,2,2,1.0,1,2540,,,,927,927,927.0,USDA1021_06561,WSM1022_06117
group_960,,hypothetical protein,2,2,1.0,1,2539,,,,927,927,927.0,USDA1021_05234,WSM1022_05202
group_959,,hypothetical protein,2,2,1.0,1,2538,,,,927,927,927.0,USDA1021_04713,WSM1022_04623
nodD2_4,nodD2_4,Nodulation protein D 2,2,2,1.0,1,2537,,,,927,927,927.0,USDA1021_04603,WSM1022_04470
group_958,,hypothetical protein,2,2,1.0,1,2536,,,,927,927,927.0,USDA1021_03204,WSM1022_02379
tyrC,tyrC,Cyclohexadienyl dehydrogenase,2,2,1.0,1,2535,,,,927,927,927.0,USDA1021_02948,WSM1022_02631
group_957,,hypothetical protein,2,2,1.0,1,2534,,,,927,927,927.0,USDA1021_02860,WSM1022_02725
gsiC_3,gsiC_3,Glutathione transport system permease protein GsiC,2,2,1.0,1,2533,,,,927,927,927.0,USDA1021_02639,WSM1022_02954
scrK,scrK,Fructokinase,2,2,1.0,1,2532,,,,927,927,927.0,USDA1021_01765,WSM1022_00255
group_956,,hypothetical protein,2,2,1.0,1,2531,,,,927,927,927.0,USDA1021_01723,WSM1022_00297
dagK,dagK,Diacylglycerol kinase,2,2,1.0,1,2530,,,,927,927,927.0,USDA1021_01462,WSM1022_00824
araA_1,araA_1,L-arabinose 1-dehydrogenase (NAD(P)(+)),2,2,1.0,1,2529,,,,927,927,927.0,USDA1021_01259,WSM1022_00943
yadG,yadG,putative ABC transporter ATP-binding protein YadG,2,2,1.0,1,2528,,,,927,927,927.0,USDA1021_00489,WSM1022_01750
ddlB,ddlB,D-alanine--D-alanine ligase B,2,2,1.0,1,2527,,,,927,927,927.0,USDA1021_00110,WSM1022_02128
group_953,,hypothetical protein,2,2,1.0,1,2524,,,,930,930,930.0,USDA1021_06231,WSM1022_05792
group_952,,hypothetical protein,2,2,1.0,1,2523,,,,930,930,930.0,USDA1021_06149,WSM1022_05710
thpA,thpA,D-threitol-binding protein,2,2,1.0,1,2522,,,,930,930,930.0,USDA1021_05522,WSM1022_05482
catM,catM,HTH-type transcriptional regulator CatM,2,2,1.0,1,2521,,,,930,930,930.0,USDA1021_05366,WSM1022_05331
etfA_1,etfA_1,Electron transfer flavoprotein subunit alpha,2,2,1.0,1,2519,,,,930,930,930.0,USDA1021_02965,WSM1022_02614
hemC,hemC,Porphobilinogen deaminase,2,2,1.0,1,2518,,,,930,930,930.0,USDA1021_02463,WSM1022_03075
group_950,,Histone deacetylase-like amidohydrolase,2,2,1.0,1,2517,,,,930,930,930.0,USDA1021_01625,WSM1022_00639
era,era,GTPase Era,2,2,1.0,1,2516,,,,930,930,930.0,USDA1021_01344,WSM1022_00860
virS,virS,HTH-type transcriptional regulator VirS,2,2,1.0,1,2515,,,,930,930,930.0,USDA1021_00739,WSM1022_01453
group_949,,hypothetical protein,2,2,1.0,1,2514,,,,930,930,930.0,USDA1021_00623,WSM1022_01623
ftsQ,ftsQ,Cell division protein FtsQ,2,2,1.0,1,2513,,,,930,930,930.0,USDA1021_00111,WSM1022_02127
mhqE,mhqE,Putative ring-cleaving dioxygenase MhqE,2,2,1.0,1,2512,,,,933,933,933.0,USDA1021_06436,WSM1022_05994
pgrR_18,pgrR_18,HTH-type transcriptional regulator PgrR,2,2,1.0,1,2511,,,,933,933,933.0,USDA1021_06154,WSM1022_05715
group_948,sugA_3,Trehalose transport system permease protein SugA,2,2,1.0,1,2510,,,,933,933,933.0,USDA1021_05923,WSM1022_05536
ddpC_5,ddpC_5,putative DD-dipeptide transport system permease protein DdpC,2,2,1.0,1,2509,,,,933,933,933.0,USDA1021_05262,WSM1022_05228
group_947,,hypothetical protein,2,2,1.0,1,2508,,,,933,933,933.0,USDA1021_05247,WSM1022_05215
dmlR_12,dmlR_12,HTH-type transcriptional regulator DmlR,2,2,1.0,1,2507,,,,933,933,933.0,USDA1021_05166,WSM1022_05134
nodD2_6,nodD2_6,Nodulation protein D 2,2,2,1.0,1,2506,,,,933,933,933.0,USDA1021_04672,WSM1022_04540
prs_2,prs_2,Ribose-phosphate pyrophosphokinase,2,2,1.0,1,2504,,,,933,933,933.0,USDA1021_03280,WSM1022_02301
ddpC_2,ddpC_2,putative DD-dipeptide transport system permease protein DdpC,2,2,1.0,1,2503,,,,933,933,933.0,USDA1021_03218,WSM1022_02365
group_946,,Hydroxypyruvate reductase,2,2,1.0,1,2502,,,,933,933,933.0,USDA1021_03065,WSM1022_02517
dmlR_3,dmlR_3,HTH-type transcriptional regulator DmlR,2,2,1.0,1,2501,,,,933,933,933.0,USDA1021_02688,WSM1022_02906
argC,argC,N-acetyl-gamma-glutamyl-phosphate reductase,2,2,1.0,1,2500,,,,933,933,933.0,USDA1021_01174,WSM1022_01027
group_945,,hypothetical protein,2,2,1.0,1,2499,,,,933,933,933.0,USDA1021_00829,WSM1022_01366
psuG,psuG,Pseudouridine-5'-phosphate glycosidase,2,2,1.0,1,2498,,,,933,933,933.0,USDA1021_00574,WSM1022_01661
hflC,hflC,Modulator of FtsH protease HflC,2,2,1.0,1,2497,,,,933,933,933.0,USDA1021_00159,WSM1022_02079
ydjH_2,ydjH_2,putative sugar kinase YdjH,2,2,1.0,1,2495,,,,936,936,936.0,USDA1021_06580,WSM1022_06136
rhaS_5,rhaS_5,HTH-type transcriptional activator RhaS,2,2,1.0,1,2494,,,,936,936,936.0,USDA1021_06347,WSM1022_05905
kdgK_2,kdgK_2,2-dehydro-3-deoxygluconokinase,2,2,1.0,1,2493,,,,936,936,936.0,USDA1021_06002,WSM1022_05613
cbbX,cbbX,Protein CbbX,2,2,1.0,1,2492,,,,936,936,936.0,USDA1021_05180,WSM1022_05148
dapA_3,dapA_3,4-hydroxy-tetrahydrodipicolinate synthase,2,2,1.0,1,2491,,,,936,936,936.0,USDA1021_05078,WSM1022_05045
gsiC_14,gsiC_14,Glutathione transport system permease protein GsiC,2,2,1.0,1,2490,,,,936,936,936.0,USDA1021_04978,WSM1022_03657
group_943,,putative flavin reductase,2,2,1.0,1,2489,,,,936,936,936.0,USDA1021_04654,WSM1022_04516
gsiC_10,gsiC_10,Glutathione transport system permease protein GsiC,2,2,1.0,1,2488,,,,936,936,936.0,USDA1021_04282,WSM1022_04159
melD_4,melD_4,Melibiose/raffinose/stachyose import permease protein MelD,2,2,1.0,1,2486,,,,936,936,936.0,USDA1021_03111,WSM1022_02464
xerD_1,xerD_1,Tyrosine recombinase XerD,2,2,1.0,1,2485,,,,936,936,936.0,USDA1021_02927,WSM1022_02650
btuD_6,btuD_6,Vitamin B12 import ATP-binding protein BtuD,2,2,1.0,1,2483,,,,936,936,936.0,USDA1021_02515,WSM1022_03019
truB,truB,tRNA pseudouridine synthase B,2,2,1.0,1,2482,,,,936,936,936.0,USDA1021_02013,WSM1022_00007
fmt_1,fmt_1,Methionyl-tRNA formyltransferase,2,2,1.0,1,2481,,,,936,936,936.0,USDA1021_01830,WSM1022_00189
group_940,,hypothetical protein,2,2,1.0,1,2480,,,,936,936,936.0,USDA1021_00820,WSM1022_01375
fmt_2,fmt_2,Methionyl-tRNA formyltransferase,2,2,1.0,1,2478,,,,939,939,939.0,USDA1021_06563,WSM1022_06119
yehX,yehX,Glycine betaine uptake system ATP-binding protein YehX,2,2,1.0,1,2477,,,,939,939,939.0,USDA1021_06491,WSM1022_06049
gsiC_4,gsiC_4,Glutathione transport system permease protein GsiC,2,2,1.0,1,2476,,,,939,939,939.0,USDA1021_02788,WSM1022_02807
melD_3,melD_3,Melibiose/raffinose/stachyose import permease protein MelD,2,2,1.0,1,2475,,,,939,939,939.0,USDA1021_02479,WSM1022_03058
group_938,,hypothetical protein,2,2,1.0,1,2474,,,,939,939,939.0,USDA1021_01714,WSM1022_00305
cntI,cntI,Pseudopaline exporter CntI,2,2,1.0,1,2473,,,,939,939,939.0,USDA1021_01474,WSM1022_00812
group_937,,hypothetical protein,2,2,1.0,1,2472,,,,939,939,939.0,USDA1021_00526,WSM1022_01713
eryC,eryC,D-erythrulose 1-phosphate 3-epimerase,2,2,1.0,1,2471,,,,939,939,939.0,USDA1021_00051,WSM1022_02185
group_936,,Tagatose kinase,2,2,1.0,1,2468,,,,942,942,942.0,USDA1021_06357,WSM1022_05915
group_935,,hypothetical protein,2,2,1.0,1,2467,,,,942,942,942.0,USDA1021_06139,WSM1022_05697
group_934,,hypothetical protein,2,2,1.0,1,2466,,,,942,942,942.0,USDA1021_05906,WSM1022_05517
group_933,,hypothetical protein,2,2,1.0,1,2465,,,,942,942,942.0,USDA1021_05481,WSM1022_05440
gbpR_1,gbpR_1,HTH-type transcriptional regulator GbpR,2,2,1.0,1,2464,,,,942,942,942.0,USDA1021_05455,WSM1022_05414
rhaR_9,rhaR_9,HTH-type transcriptional activator RhaR,2,2,1.0,1,2463,,,,942,942,942.0,USDA1021_05381,WSM1022_05346
ybhN,ybhN,Inner membrane protein YbhN,2,2,1.0,1,2462,,,,942,942,942.0,USDA1021_05279,WSM1022_05245
group_932,,hypothetical protein,2,2,1.0,1,2461,,,,942,942,942.0,USDA1021_05235,WSM1022_05203
cmpR_2,cmpR_2,HTH-type transcriptional activator CmpR,2,2,1.0,1,2460,,,,942,942,942.0,USDA1021_05173,WSM1022_05141
yjiE,yjiE,HTH-type transcriptional regulator YjiE,2,2,1.0,1,2459,,,,942,942,942.0,USDA1021_04981,WSM1022_03654
dgoK1_1,dgoK1_1,putative 2-dehydro-3-deoxygalactonokinase DgoK1,2,2,1.0,1,2458,,,,942,942,942.0,USDA1021_04702,WSM1022_04612
rhaS_3,rhaS_3,HTH-type transcriptional activator RhaS,2,2,1.0,1,2455,,,,942,942,942.0,USDA1021_02916,WSM1022_02661
hdfR_4,hdfR_4,HTH-type transcriptional regulator HdfR,2,2,1.0,1,2454,,,,942,942,942.0,USDA1021_02847,WSM1022_02738
group_931,,hypothetical protein,2,2,1.0,1,2453,,,,942,942,942.0,USDA1021_01758,WSM1022_00262
rarD,rarD,Protein RarD,2,2,1.0,1,2452,,,,942,942,942.0,USDA1021_01299,WSM1022_00903
pyrB,pyrB,Aspartate carbamoyltransferase,2,2,1.0,1,2451,,,,942,942,942.0,USDA1021_01105,WSM1022_01091
dmlR_1,dmlR_1,HTH-type transcriptional regulator DmlR,2,2,1.0,1,2450,,,,942,942,942.0,USDA1021_01077,WSM1022_01119
msrP_1,msrP_1,Protein-methionine-sulfoxide reductase catalytic subunit MsrP,2,2,1.0,1,2449,,,,942,942,942.0,USDA1021_01025,WSM1022_01170
ngcG_1,ngcG_1,Diacetylchitobiose uptake system permease protein NgcG,2,2,1.0,1,2448,,,,942,942,942.0,USDA1021_00450,WSM1022_01785
metF,metF,510-methylenetetrahydrofolate reductase,2,2,1.0,1,2447,,,,942,942,942.0,USDA1021_00081,WSM1022_02157
group_930,,hypothetical protein,2,2,1.0,1,2446,,,,945,945,945.0,USDA1021_05509,WSM1022_05469
lacF_3,lacF_3,Lactose transport system permease protein LacF,2,2,1.0,1,2445,,,,945,945,945.0,USDA1021_05146,WSM1022_05112
group_929,,hypothetical protein,2,2,1.0,1,2444,,,,945,945,945.0,USDA1021_05050,WSM1022_03583
potB_3,potB_3,Spermidine/putrescine transport system permease protein PotB,2,2,1.0,1,2442,,,,945,945,945.0,USDA1021_03790,WSM1022_04758
group_928,,hypothetical protein,2,2,1.0,1,2441,,,,945,945,945.0,USDA1021_02034,WSM1022_03525
rihA_1,rihA_1,Pyrimidine-specific ribonucleoside hydrolase RihA,2,2,1.0,1,2440,,,,945,945,945.0,USDA1021_01835,WSM1022_00184
fabD,fabD,Malonyl CoA-acyl carrier protein transacylase,2,2,1.0,1,2439,,,,945,945,945.0,USDA1021_01275,WSM1022_00928
fmdA,fmdA,Formamidase,2,2,1.0,1,2438,,,,945,945,945.0,USDA1021_00427,WSM1022_01808
group_927,,hypothetical protein,2,2,1.0,1,2437,,,,945,945,945.0,USDA1021_00219,WSM1022_02021
yijE,yijE,putative cystine transporter YijE,2,2,1.0,1,2436,,,,945,945,945.0,USDA1021_00082,WSM1022_02156
lsrR_1,lsrR_1,Transcriptional regulator LsrR,2,2,1.0,1,2434,,,,948,948,948.0,USDA1021_06666,WSM1022_06274
dmlR_16,dmlR_16,HTH-type transcriptional regulator DmlR,2,2,1.0,1,2433,,,,948,948,948.0,USDA1021_06509,WSM1022_06066
group_925,,hypothetical protein,2,2,1.0,1,2432,,,,948,948,948.0,USDA1021_05610,WSM1022_00395
cdhR_6,cdhR_6,HTH-type transcriptional regulator CdhR,2,2,1.0,1,2431,,,,948,948,948.0,USDA1021_05161,WSM1022_05127
group_924,,hypothetical protein,2,2,1.0,1,2430,,,,948,948,948.0,USDA1021_04923,WSM1022_03714
rbsC_10,rbsC_10,Ribose import permease protein RbsC,2,2,1.0,1,2429,,,,948,948,948.0,USDA1021_04922,WSM1022_03715
group_923,,hypothetical protein,2,2,1.0,1,2428,,,,948,948,948.0,USDA1021_04089,WSM1022_03990
gcvA_5,gcvA_5,Glycine cleavage system transcriptional activator,2,2,1.0,1,2426,,,,948,948,948.0,USDA1021_03686,WSM1022_04845
hmuT,hmuT,Hemin-binding periplasmic protein HmuT,2,2,1.0,1,2425,,,,948,948,948.0,USDA1021_03201,WSM1022_02382
pldB,pldB,Lysophospholipase L2,2,2,1.0,1,2424,,,,948,948,948.0,USDA1021_02783,WSM1022_02812
group_921,,hypothetical protein,2,2,1.0,1,2423,,,,948,948,948.0,USDA1021_02718,WSM1022_02876
eryD_2,eryD_2,Erythritol catabolism regulatory protein EryD,2,2,1.0,1,2422,,,,948,948,948.0,USDA1021_02635,WSM1022_02958
gcvA_3,gcvA_3,Glycine cleavage system transcriptional activator,2,2,1.0,1,2421,,,,948,948,948.0,USDA1021_02628,WSM1022_02966
lacF_2,lacF_2,Lactose transport system permease protein LacF,2,2,1.0,1,2420,,,,948,948,948.0,USDA1021_02135,WSM1022_03416
group_920,,hypothetical protein,2,2,1.0,1,2419,,,,948,948,948.0,USDA1021_02077,WSM1022_03474
lacF_1,lacF_1,Lactose transport system permease protein LacF,2,2,1.0,1,2418,,,,948,948,948.0,USDA1021_02058,WSM1022_03493
gshB_1,gshB_1,Glutathione synthetase,2,2,1.0,1,2417,,,,948,948,948.0,USDA1021_01913,WSM1022_00104
