locus_tag	ftype	length_bp	gene	EC_number	COG	product
USDA1021_03623	CDS	363				IS3 family transposase ISKpn11
USDA1021_03624	CDS	1203				IS256 family transposase ISRm3
USDA1021_03625	CDS	282				hypothetical protein
USDA1021_03626	CDS	453				hypothetical protein
USDA1021_03627	CDS	789	argT_3		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
USDA1021_03628	CDS	108				hypothetical protein
USDA1021_03629	CDS	309				hypothetical protein
USDA1021_03630	CDS	1278				hypothetical protein
USDA1021_03631	CDS	354				hypothetical protein
USDA1021_03632	CDS	150				hypothetical protein
USDA1021_03633	CDS	903				hypothetical protein
USDA1021_03634	CDS	1380				hypothetical protein
USDA1021_03635	CDS	1242	nylB'	3.5.1.46		6-aminohexanoate-dimer hydrolase
USDA1021_03636	CDS	555				hypothetical protein
USDA1021_03637	CDS	261				IS630 family transposase ISRm10-1
USDA1021_03638	CDS	831				IS3 family transposase ISKpn11
USDA1021_03639	CDS	312				IS3 family transposase ISKpn11
USDA1021_03640	CDS	99				hypothetical protein
USDA1021_03641	CDS	1230	xerC_10			Tyrosine recombinase XerC
USDA1021_03642	CDS	915	xerD_3			Tyrosine recombinase XerD
USDA1021_03643	CDS	990	xerC_11		COG4973	Tyrosine recombinase XerC
USDA1021_03644	CDS	387				hypothetical protein
USDA1021_03645	CDS	132				hypothetical protein
USDA1021_03646	CDS	549				hypothetical protein
USDA1021_03647	CDS	1227	purD_2	6.3.4.13		Phosphoribosylamine--glycine ligase
USDA1021_03648	CDS	387	ectC	4.2.1.108		L-ectoine synthase
USDA1021_03649	CDS	312				IS3 family transposase ISKpn11
USDA1021_03650	CDS	831				IS3 family transposase ISKpn11
USDA1021_03651	CDS	303				IS3 family transposase ISRle4
USDA1021_03652	CDS	1053				IS110 family transposase ISPye16
USDA1021_03653	CDS	528				IS3 family transposase ISRle4
USDA1021_03654	CDS	282				hypothetical protein
USDA1021_03655	CDS	354				hypothetical protein
USDA1021_03656	CDS	1653				IS66 family transposase ISRosp4
USDA1021_03657	CDS	1335		2.6.1.-		Beta-phenylalanine transaminase
USDA1021_03658	CDS	636	paoA_1	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
USDA1021_03659	CDS	702	cmoA	2.1.3.-		Carboxy-S-adenosyl-L-methionine synthase
USDA1021_03660	CDS	423				hypothetical protein
USDA1021_03661	CDS	531				hypothetical protein
USDA1021_03662	CDS	723		1.-.-.-		putative oxidoreductase
USDA1021_03663	CDS	258	pgrR_5			HTH-type transcriptional regulator PgrR
USDA1021_03664	CDS	609	pgrR_6			HTH-type transcriptional regulator PgrR
USDA1021_03665	CDS	1710	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
USDA1021_03666	CDS	2043	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
USDA1021_03667	CDS	570	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
USDA1021_03668	CDS	2691	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
USDA1021_03669	CDS	693	kdpE		COG0745	Transcriptional regulatory protein KdpE
USDA1021_03670	CDS	441				hypothetical protein
USDA1021_03671	CDS	2070	uvrD	3.6.4.12	COG0210	DNA helicase II
USDA1021_03672	CDS	648				hypothetical protein
USDA1021_03673	CDS	777	ant1	2.7.7.47		Streptomycin 3''-adenylyltransferase
USDA1021_03674	CDS	2034	iolG_9	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
USDA1021_03675	CDS	1179	nagC_3		COG1940	N-acetylglucosamine repressor
USDA1021_03676	CDS	1245				hypothetical protein
USDA1021_03677	CDS	717				hypothetical protein
USDA1021_03678	CDS	258				hypothetical protein
USDA1021_03679	CDS	813				hypothetical protein
USDA1021_03680	CDS	267				hypothetical protein
USDA1021_03681	CDS	1707	ftsI_2	3.4.16.4		putative peptidoglycan D,D-transpeptidase FtsI
USDA1021_03682	CDS	2439	mrcA_2		COG5009	Penicillin-binding protein 1A
USDA1021_03683	CDS	885	ampR			HTH-type transcriptional activator AmpR
USDA1021_03684	CDS	1113		1.-.-.-		NADH oxidase
USDA1021_03685	CDS	393	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
USDA1021_03686	CDS	948	gcvA_5			Glycine cleavage system transcriptional activator
USDA1021_03687	CDS	558				hypothetical protein
USDA1021_03688	CDS	432				hypothetical protein
USDA1021_03689	CDS	483				hypothetical protein
USDA1021_03690	CDS	276				hypothetical protein
USDA1021_03691	CDS	351				hypothetical protein
USDA1021_03692	CDS	237				hypothetical protein
USDA1021_03693	CDS	438				hypothetical protein
USDA1021_03694	CDS	486				hypothetical protein
USDA1021_03695	CDS	1158				hypothetical protein
USDA1021_03696	CDS	378				hypothetical protein
USDA1021_03697	CDS	291				hypothetical protein
USDA1021_03698	CDS	321				hypothetical protein
USDA1021_03699	CDS	1668				hypothetical protein
USDA1021_03700	CDS	762	leuC_2	4.2.1.33		3-isopropylmalate dehydratase large subunit
USDA1021_03701	CDS	438				hypothetical protein
USDA1021_03702	CDS	384				hypothetical protein
USDA1021_03703	CDS	150				hypothetical protein
USDA1021_03704	CDS	414				hypothetical protein
USDA1021_03705	CDS	1542				hypothetical protein
USDA1021_03706	CDS	384				hypothetical protein
USDA1021_03707	CDS	474				IS630 family transposase ISRm10-1
USDA1021_03708	CDS	2289				hypothetical protein
USDA1021_03709	CDS	1251				hypothetical protein
USDA1021_03710	CDS	408				hypothetical protein
USDA1021_03711	CDS	474				IS630 family transposase ISRm2011-2
USDA1021_03712	CDS	780				hypothetical protein
USDA1021_03713	CDS	690				hypothetical protein
USDA1021_03714	CDS	1617				hypothetical protein
USDA1021_03715	CDS	333				hypothetical protein
USDA1021_03716	CDS	735				hypothetical protein
USDA1021_03717	CDS	363				hypothetical protein
USDA1021_03718	CDS	345				hypothetical protein
USDA1021_03719	CDS	234				hypothetical protein
USDA1021_03720	CDS	882				IS21 family transposase ISRel3
USDA1021_03721	CDS	411				hypothetical protein
USDA1021_03722	CDS	177				hypothetical protein
USDA1021_03723	CDS	246				hypothetical protein
USDA1021_03724	CDS	201				Antitoxin VapB32
USDA1021_03725	CDS	198				hypothetical protein
USDA1021_03726	CDS	837	nimR_1			HTH-type transcriptional regulator NimR
USDA1021_03727	CDS	729	cypM	2.1.1.301		Cypemycin N-terminal methyltransferase
USDA1021_03728	CDS	165				hypothetical protein
USDA1021_03729	CDS	2037			COG1123	putative ABC transporter ATP-binding protein
USDA1021_03730	CDS	888				hypothetical protein
USDA1021_03731	CDS	954	gsiC_7		COG0601	Glutathione transport system permease protein GsiC
USDA1021_03732	CDS	672				hypothetical protein
USDA1021_03733	CDS	1524	hbpA_1		COG0747	Heme-binding protein A
USDA1021_03734	CDS	879	gcvA_6			Glycine cleavage system transcriptional activator
USDA1021_03735	CDS	1641	hutH_2	4.3.1.3	COG2986	Histidine ammonia-lyase
USDA1021_03736	CDS	954	nodD2_2			Nodulation protein D 2
USDA1021_03737	CDS	960				hypothetical protein
USDA1021_03738	CDS	900	pgrR_7			HTH-type transcriptional regulator PgrR
USDA1021_03739	CDS	567				hypothetical protein
USDA1021_03740	CDS	252				hypothetical protein
USDA1021_03741	CDS	843				hypothetical protein
USDA1021_03742	CDS	420				hypothetical protein
USDA1021_03743	CDS	270				hypothetical protein
USDA1021_03744	CDS	1005	rhaR_2			HTH-type transcriptional activator RhaR
USDA1021_03745	CDS	750		1.-.-.-		putative oxidoreductase
USDA1021_03746	CDS	549				hypothetical protein
USDA1021_03747	CDS	285				hypothetical protein
USDA1021_03748	CDS	303				hypothetical protein
USDA1021_03749	CDS	840	sadH	1.-.-.-		Putative oxidoreductase SadH
USDA1021_03750	CDS	771	fabG2_1	1.-.-.-		putative oxidoreductase
USDA1021_03751	CDS	435	yqjF_2		COG2259	Inner membrane protein YqjF
USDA1021_03752	CDS	777	ycdF_1	1.1.1.47	COG1028	Glucose 1-dehydrogenase 2
USDA1021_03753	CDS	459				hypothetical protein
USDA1021_03754	CDS	774	lvr	1.1.1.-		Levodione reductase
USDA1021_03755	CDS	609		1.6.5.2		NAD(P)H dehydrogenase (quinone)
USDA1021_03756	CDS	435				hypothetical protein
USDA1021_03757	CDS	618	ywrO	1.6.99.-	COG2249	General stress protein 14
USDA1021_03758	CDS	888	syrM1_1			HTH-type transcriptional regulator SyrM 1
USDA1021_03759	CDS	597				hypothetical protein
USDA1021_03760	CDS	897				hypothetical protein
USDA1021_03761	CDS	915	yahB_1			putative HTH-type transcriptional regulator YahB
USDA1021_03762	CDS	1044	yahB_2			putative HTH-type transcriptional regulator YahB
USDA1021_03763	CDS	657				hypothetical protein
USDA1021_03764	CDS	252				hypothetical protein
USDA1021_03765	CDS	852		1.-.-.-		putative oxidoreductase
USDA1021_03766	CDS	537				hypothetical protein
USDA1021_03767	CDS	690				hypothetical protein
USDA1021_03768	CDS	1785				hypothetical protein
USDA1021_03769	CDS	891				hypothetical protein
USDA1021_03770	CDS	267				hypothetical protein
USDA1021_03771	CDS	213				hypothetical protein
USDA1021_03772	CDS	309				hypothetical protein
USDA1021_03773	CDS	291				hypothetical protein
USDA1021_03774	CDS	1200		1.17.1.9		Formate dehydrogenase
USDA1021_03775	CDS	375			COG2826	IS30 family transposase ISRle2
USDA1021_03776	CDS	558				hypothetical protein
USDA1021_03777	CDS	99				hypothetical protein
USDA1021_03778	CDS	900	dmlR_7			HTH-type transcriptional regulator DmlR
USDA1021_03779	CDS	933	mhqO_1	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqO
USDA1021_03780	CDS	690	ycaC_1	4.-.-.-	COG1335	putative hydrolase YcaC
USDA1021_03781	CDS	288				hypothetical protein
USDA1021_03782	CDS	1983	nfdA_1	3.5.1.91		N-substituted formamide deformylase
USDA1021_03783	CDS	444				hypothetical protein
USDA1021_03784	CDS	1599	entS_4			Enterobactin exporter EntS
USDA1021_03785	CDS	123				hypothetical protein
USDA1021_03786	CDS	1113	hisC_5	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
USDA1021_03787	CDS	768	kduD_2	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
USDA1021_03788	CDS	1134	btuD_10	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
USDA1021_03789	CDS	1116				hypothetical protein
USDA1021_03790	CDS	945	potB_3		COG1176	Spermidine/putrescine transport system permease protein PotB
USDA1021_03791	CDS	801	phnV		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
USDA1021_03792	CDS	1371	hisD_1	1.1.1.23		Histidinol dehydrogenase
USDA1021_03793	CDS	1014	yjmD	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YjmD
USDA1021_03794	CDS	732	nagR_3		COG2188	HTH-type transcriptional repressor NagR
USDA1021_03795	CDS	1293				hypothetical protein
USDA1021_03796	CDS	1146	lldD_2	1.1.-.-	COG1304	L-lactate dehydrogenase
USDA1021_03797	CDS	585				hypothetical protein
USDA1021_03798	CDS	642	rutR_2		COG1309	HTH-type transcriptional regulator RutR
USDA1021_03799	CDS	852		3.2.2.27		Uracil-DNA glycosylase
USDA1021_03800	CDS	1626	betA_2	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
USDA1021_03801	CDS	321				hypothetical protein
USDA1021_03802	CDS	1053				hypothetical protein
USDA1021_03803	CDS	1581	lsrA_1	3.6.3.-	COG1129	Autoinducer 2 import ATP-binding protein LsrA
USDA1021_03804	CDS	1038				hypothetical protein
USDA1021_03805	CDS	894				hypothetical protein
USDA1021_03806	CDS	426				hypothetical protein
USDA1021_03807	CDS	939	rihA_2	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
USDA1021_03808	CDS	1527	mtaD	3.5.4.28	COG0402	5-methylthioadenosine/S-adenosylhomocysteine deaminase
USDA1021_03809	CDS	324	higA-2		COG2944	Antitoxin HigA-2
USDA1021_03810	CDS	360				hypothetical protein
USDA1021_03811	CDS	369				hypothetical protein
USDA1021_03812	CDS	258				hypothetical protein
USDA1021_03813	CDS	186				hypothetical protein
USDA1021_03814	CDS	1092				IS1595 family transposase ISRm32
USDA1021_03815	CDS	777	hisN_2	3.1.3.15	COG0483	Histidinol-phosphatase
USDA1021_03816	CDS	1455	thrC_2	4.2.3.1	COG0498	Threonine synthase
USDA1021_03817	CDS	951	ala	1.4.1.1		Alanine dehydrogenase
USDA1021_03818	CDS	750	glnQ_3			Glutamine transport ATP-binding protein GlnQ
USDA1021_03819	CDS	684	occM			Octopine transport system permease protein OccM
USDA1021_03820	CDS	699	hisQ_3		COG4215	Histidine transport system permease protein HisQ
USDA1021_03821	CDS	810	argT_4		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
USDA1021_03822	CDS	669	dauR_2		COG2964	Transcriptional regulator DauR
USDA1021_03823	CDS	900	cmpR_1			HTH-type transcriptional activator CmpR
USDA1021_03824	CDS	633				hypothetical protein
USDA1021_03825	CDS	687	yecS_2		COG0765	L-cystine transport system permease protein YecS
USDA1021_03826	CDS	657	yecS_3		COG0765	L-cystine transport system permease protein YecS
USDA1021_03827	CDS	792	fliY_3		COG0834	L-cystine-binding protein FliY
USDA1021_03828	CDS	732	glnQ_4			Glutamine transport ATP-binding protein GlnQ
USDA1021_03829	CDS	948		1.1.1.215	COG1052	2-ketogluconate reductase
USDA1021_03830	CDS	1032	idnD_1	1.1.1.264	COG1063	L-idonate 5-dehydrogenase (NAD(P)(+))
USDA1021_03831	CDS	756	gno_1	1.1.1.-		Gluconate 5-dehydrogenase
USDA1021_03832	CDS	483	gntK_1	2.7.1.12	COG3265	Thermoresistant gluconokinase
USDA1021_03833	CDS	888	garR_3	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
USDA1021_03834	CDS	333				hypothetical protein
USDA1021_03835	CDS	843				hypothetical protein
USDA1021_03836	CDS	1116				hypothetical protein
USDA1021_03837	CDS	1803				hypothetical protein
USDA1021_03838	CDS	1047	ugpC_7	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
USDA1021_03839	CDS	600	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
USDA1021_03840	CDS	432	COQ3_2	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
USDA1021_03841	CDS	483				hypothetical protein
USDA1021_03842	CDS	414				hypothetical protein
USDA1021_03843	CDS	348				hypothetical protein
USDA1021_03844	CDS	261				hypothetical protein
USDA1021_03845	CDS	396				hypothetical protein
USDA1021_03846	CDS	552				hypothetical protein
USDA1021_03847	CDS	306				hypothetical protein
USDA1021_03848	CDS	441				hypothetical protein
USDA1021_03849	CDS	240				hypothetical protein
USDA1021_03850	CDS	942	gsiC_8		COG0601	Glutathione transport system permease protein GsiC
USDA1021_03851	CDS	864				hypothetical protein
USDA1021_03852	CDS	1602	gsiA_5	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
USDA1021_03853	CDS	1590				hypothetical protein
USDA1021_03854	CDS	1155	doeA_3	3.5.4.44	COG0006	Ectoine hydrolase
USDA1021_03855	CDS	1719	gsiA_6	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
USDA1021_03856	CDS	897	dppC_3		COG1173	Dipeptide transport system permease protein DppC
USDA1021_03857	CDS	966	dppB_2		COG0601	Dipeptide transport system permease protein DppB
USDA1021_03858	CDS	546	hbpA_2		COG0747	Heme-binding protein A
USDA1021_03859	CDS	1041	cntA		COG0747	Metal-staphylopine-binding protein CntA
USDA1021_03860	CDS	1389	atzA_2	3.8.1.8		Atrazine chlorohydrolase
USDA1021_03861	CDS	1197	atzC_2	3.5.4.42		N-isopropylammelide isopropyl amidohydrolase
USDA1021_03862	CDS	1446		3.5.4.32	COG0402	8-oxoguanine deaminase
USDA1021_03863	CDS	1386	allB	3.5.2.5	COG0044	Allantoinase
USDA1021_03864	CDS	636				hypothetical protein
USDA1021_03865	CDS	174				hypothetical protein
USDA1021_03866	CDS	291				hypothetical protein
USDA1021_03867	CDS	279				hypothetical protein
USDA1021_03868	CDS	204				hypothetical protein
USDA1021_03869	CDS	390				hypothetical protein
USDA1021_03870	CDS	2637	ligD_4		COG1793	Multifunctional non-homologous end joining protein LigD
USDA1021_03871	CDS	894				hypothetical protein
USDA1021_03872	CDS	519				hypothetical protein
USDA1021_03873	CDS	213				hypothetical protein
USDA1021_03874	CDS	945	ligD_5		COG1793	Multifunctional non-homologous end joining protein LigD
USDA1021_03875	CDS	807	ku_1		COG1273	Non-homologous end joining protein Ku
USDA1021_03876	CDS	255				hypothetical protein
USDA1021_03877	CDS	1023				hypothetical protein
USDA1021_03878	CDS	594				hypothetical protein
USDA1021_03879	CDS	408				hypothetical protein
USDA1021_03880	CDS	474				IS630 family transposase ISRm2011-2
USDA1021_03881	CDS	435				hypothetical protein
USDA1021_03882	CDS	978				hypothetical protein
USDA1021_03883	CDS	231				hypothetical protein
USDA1021_03884	CDS	747	lutR_3		COG2186	HTH-type transcriptional regulator LutR
USDA1021_03885	CDS	474				hypothetical protein
USDA1021_03886	CDS	756	glnQ_5			Glutamine transport ATP-binding protein GlnQ
USDA1021_03887	CDS	669	yecS_4		COG0765	L-cystine transport system permease protein YecS
USDA1021_03888	CDS	651	yecS_5		COG0765	L-cystine transport system permease protein YecS
USDA1021_03889	CDS	846	glnH_2		COG0834	ABC transporter glutamine-binding protein GlnH
USDA1021_03890	CDS	2082				hypothetical protein
USDA1021_03891	CDS	1638	apc4	6.4.1.8	COG0146	Acetophenone carboxylase delta subunit
USDA1021_03892	CDS	1206	aatB_2	2.6.1.1	COG0436	Aspartate aminotransferase
USDA1021_03893	CDS	906		4.2.1.41	COG0329	putative 5-dehydro-4-deoxyglucarate dehydratase
USDA1021_03894	CDS	1434	aldHT_1	1.2.1.5		Aldehyde dehydrogenase, thermostable
USDA1021_03895	CDS	525			COG3385	IS4 family transposase ISRm16
USDA1021_03896	CDS	930				hypothetical protein
USDA1021_03897	CDS	1056				hypothetical protein
USDA1021_03898	CDS	975				hypothetical protein
USDA1021_03899	CDS	474				hypothetical protein
USDA1021_03900	CDS	1509				hypothetical protein
USDA1021_03901	CDS	393			COG0251	RutC family protein
USDA1021_03902	CDS	738				hypothetical protein
USDA1021_03903	CDS	216			COG2826	IS30 family transposase ISRle2
USDA1021_03904	CDS	1032				IS110 family transposase ISMno14
USDA1021_03905	CDS	810			COG2826	IS30 family transposase ISRle2
USDA1021_03906	CDS	4977				hypothetical protein
USDA1021_03907	CDS	627				hypothetical protein
USDA1021_03908	CDS	972				hypothetical protein
USDA1021_03909	CDS	396				hypothetical protein
USDA1021_03910	CDS	348				hypothetical protein
USDA1021_03911	CDS	1635				IS66 family transposase IS66
USDA1021_03912	CDS	282				hypothetical protein
USDA1021_03913	CDS	618				hypothetical protein
USDA1021_03914	CDS	381				hypothetical protein
USDA1021_03915	CDS	1335				ISNCY family transposase ISRm17
USDA1021_03916	CDS	600	pgrR_8			HTH-type transcriptional regulator PgrR
USDA1021_03917	CDS	393				hypothetical protein
USDA1021_03918	CDS	780				hypothetical protein
USDA1021_03919	CDS	444				hypothetical protein
USDA1021_03920	CDS	1071				hypothetical protein
USDA1021_03921	CDS	480				hypothetical protein
USDA1021_03922	CDS	384	acsA_4	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
USDA1021_03923	CDS	1890				hypothetical protein
USDA1021_03924	CDS	150				hypothetical protein
USDA1021_03925	CDS	684		3.1.1.10		Tropinesterase
USDA1021_03926	CDS	1869				hypothetical protein
USDA1021_03927	CDS	663				hypothetical protein
USDA1021_03928	CDS	258				hypothetical protein
USDA1021_03929	CDS	1110				hypothetical protein
USDA1021_03930	CDS	408				hypothetical protein
USDA1021_03931	CDS	345				hypothetical protein
USDA1021_03932	CDS	1620				IS66 family transposase ISRle3
USDA1021_03933	CDS	138				hypothetical protein
USDA1021_03934	CDS	936				hypothetical protein
USDA1021_03935	CDS	801				hypothetical protein
USDA1021_03936	CDS	462				hypothetical protein
USDA1021_03937	CDS	978	cpo_3	1.11.1.10		Non-heme chloroperoxidase
USDA1021_03938	CDS	549				hypothetical protein
USDA1021_03939	CDS	2688				hypothetical protein
USDA1021_03940	CDS	282				hypothetical protein
USDA1021_03941	CDS	798				hypothetical protein
USDA1021_03942	CDS	1110	msrP_2	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
USDA1021_03943	CDS	1335				ISNCY family transposase ISRm17
USDA1021_03944	CDS	270				hypothetical protein
USDA1021_03945	CDS	393				hypothetical protein
USDA1021_03946	CDS	831				IS3 family transposase ISRm1
USDA1021_03947	CDS	393				hypothetical protein
USDA1021_03948	CDS	381				hypothetical protein
USDA1021_03949	CDS	291				hypothetical protein
USDA1021_03950	CDS	123				hypothetical protein
USDA1021_03951	CDS	1086				hypothetical protein
USDA1021_03952	CDS	1077				ISAs1 family transposase ISRm21
USDA1021_03953	CDS	366				hypothetical protein
USDA1021_03954	CDS	183				hypothetical protein
USDA1021_03955	CDS	633				hypothetical protein
USDA1021_03956	CDS	564				hypothetical protein
USDA1021_03957	CDS	525	yyaP_2		COG0262	putative protein YyaP
USDA1021_03958	CDS	387				Blue-light-activated protein
USDA1021_03959	CDS	1062				hypothetical protein
USDA1021_03960	CDS	288				hypothetical protein
USDA1021_03961	CDS	366				hypothetical protein
USDA1021_03962	CDS	417				hypothetical protein
USDA1021_03963	CDS	177				hypothetical protein
USDA1021_03964	CDS	1116	ydiK_2		COG0628	Putative transport protein YdiK
USDA1021_03965	CDS	411				hypothetical protein
USDA1021_03966	CDS	261				hypothetical protein
USDA1021_03967	CDS	111				hypothetical protein
USDA1021_03968	CDS	207				hypothetical protein
USDA1021_03969	CDS	324				hypothetical protein
USDA1021_03970	CDS	714				hypothetical protein
USDA1021_03971	CDS	720				hypothetical protein
USDA1021_03972	CDS	834	mltF_3	4.2.2.-		Membrane-bound lytic murein transglycosylase F
USDA1021_03973	CDS	771	artM_2		COG1126	Arginine transport ATP-binding protein ArtM
USDA1021_03974	CDS	669	gltK		COG0765	Glutamate/aspartate import permease protein GltK
USDA1021_03975	CDS	669	yecS_6		COG0765	L-cystine transport system permease protein YecS
USDA1021_03976	CDS	879	dapA_2	4.3.3.7		4-hydroxy-tetrahydrodipicolinate synthase
USDA1021_03977	CDS	1233	dadA1_2	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
USDA1021_03978	CDS	699	fabG_8	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
USDA1021_03979	CDS	1470	gbsA	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
USDA1021_03980	CDS	1044		5.1.1.8	COG3938	4-hydroxyproline 2-epimerase
USDA1021_03981	CDS	753	fabG_9	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
USDA1021_03982	CDS	753	bacC_2	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
USDA1021_03983	CDS	768				hypothetical protein
USDA1021_03984	CDS	726				hypothetical protein
USDA1021_03985	CDS	747		1.-.-.-		putative oxidoreductase
USDA1021_03986	CDS	1083			COG1073	putative protein
USDA1021_03987	CDS	117				hypothetical protein
USDA1021_03988	CDS	264				hypothetical protein
USDA1021_03989	CDS	1188	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
USDA1021_03990	CDS	894	pgrR_9			HTH-type transcriptional regulator PgrR
USDA1021_03991	CDS	495				hypothetical protein
USDA1021_03992	CDS	558				hypothetical protein
USDA1021_03993	CDS	1092				IS1595 family transposase ISRm32
USDA1021_03994	CDS	717	mcbR_2		COG1802	HTH-type transcriptional regulator McbR
USDA1021_03995	CDS	1065	lgoD_2	1.1.1.414	COG1063	L-galactonate-5-dehydrogenase
USDA1021_03996	CDS	1002	ppsC	2.3.1.41		Phthiocerol synthesis polyketide synthase type I PpsC
USDA1021_03997	CDS	1746	xsc_1	2.3.3.15		Sulfoacetaldehyde acetyltransferase
USDA1021_03998	CDS	1203			COG0683	Leu/Ile/Val-binding protein 
USDA1021_03999	CDS	888	livH_5		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
USDA1021_04000	CDS	1809	btuD_11	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
USDA1021_04001	CDS	705	livF_4		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
USDA1021_04002	CDS	813	fabG_10	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
USDA1021_04003	CDS	816	aroE_3	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
USDA1021_04004	CDS	1410		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
USDA1021_04005	CDS	1611	betA_3	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
USDA1021_04006	CDS	861	coxM_2	1.2.5.3		Carbon monoxide dehydrogenase medium chain
USDA1021_04007	CDS	480	ndhS_1	1.17.1.5		Nicotinate dehydrogenase small FeS subunit
USDA1021_04008	CDS	2253	hcrA_1	1.3.7.9		4-hydroxybenzoyl-CoA reductase subunit alpha
USDA1021_04009	CDS	246				hypothetical protein
USDA1021_04010	CDS	861	gltC			HTH-type transcriptional regulator GltC
USDA1021_04011	CDS	684	maiA_1	5.2.1.1		Maleate isomerase
USDA1021_04012	CDS	210				hypothetical protein
USDA1021_04013	CDS	528				hypothetical protein
USDA1021_04014	CDS	1257	hyuC_2	3.5.1.87	COG0624	N-carbamoyl-L-amino-acid hydrolase
USDA1021_04015	CDS	318				hypothetical protein
USDA1021_04016	CDS	162				hypothetical protein
USDA1021_04017	CDS	759	kdgR_1			Pectin degradation repressor protein KdgR
USDA1021_04018	CDS	1602	alkJ_3	1.1.99.-		Alcohol dehydrogenase [acceptor]
USDA1021_04019	CDS	1338	abaF_1			Fosfomycin resistance protein AbaF
USDA1021_04020	CDS	1776	xsc_2	2.3.3.15	COG0028	Sulfoacetaldehyde acetyltransferase
USDA1021_04021	CDS	1038				hypothetical protein
USDA1021_04022	CDS	993	pta_1	2.3.1.8	COG0280	Phosphate acetyltransferase
USDA1021_04023	CDS	879	dsdC		COG0583	HTH-type transcriptional regulator DsdC
USDA1021_04024	CDS	1239		1.14.13.239		Carnitine monooxygenase oxygenase subunit
USDA1021_04025	CDS	792	hmp_1	1.14.12.17		Flavohemoprotein
USDA1021_04026	CDS	285				hypothetical protein
USDA1021_04027	CDS	408	ywnA_2		COG1959	Putative HTH-type transcriptional regulator YwnA
USDA1021_04028	CDS	981	ephA	3.3.2.10		Epoxide hydrolase A
USDA1021_04029	CDS	969		3.1.1.2		Arylesterase
USDA1021_04030	CDS	639	comR_1			HTH-type transcriptional repressor ComR
USDA1021_04031	CDS	360				hypothetical protein
USDA1021_04032	CDS	204	cspA_5		COG1278	Cold shock protein CspA
USDA1021_04033	CDS	726		1.-.-.-		putative oxidoreductase
USDA1021_04034	CDS	798				hypothetical protein
USDA1021_04035	CDS	204				hypothetical protein
USDA1021_04036	CDS	258				hypothetical protein
USDA1021_04037	CDS	651	ycaC_2	4.-.-.-	COG1335	putative hydrolase YcaC
USDA1021_04038	CDS	894	pgrR_10			HTH-type transcriptional regulator PgrR
USDA1021_04039	CDS	1632		1.1.-.-	COG2303	putative GMC-type oxidoreductase
USDA1021_04040	CDS	780				hypothetical protein
USDA1021_04041	CDS	468	ohrR_3			Organic hydroperoxide resistance transcriptional regulator
USDA1021_04042	CDS	306				hypothetical protein
USDA1021_04043	CDS	204				hypothetical protein
USDA1021_04044	CDS	321				hypothetical protein
USDA1021_04045	CDS	522	pgrR_11			HTH-type transcriptional regulator PgrR
USDA1021_04046	CDS	372	pgrR_12			HTH-type transcriptional regulator PgrR
